vehicle_id,timestamp,engine_speed_rpm,vehicle_speed_kmh,engine_load_pct,accelerator_pedal_pct,coolant_temp_c,oil_pressure_kpa,fuel_rail_pressure_mpa,battery_voltage_v,maf_g_s,charging_status,dtc_flag,oil_pressure_below_manual_check,idle_out_of_target,fuel_rail_low_at_idle,cooling_high_demo_flag,operating_scenario
ISZ-001,2026-09-08 06:00:00,546.0,0,22.7,4.6,85.9,209.6,32.6,27.02,33.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 06:10:00,545.0,0,8.0,1.4,88.3,244.0,24.9,27.43,43.6,Normal,0,0,0,1,0,Normal operation
ISZ-001,2026-09-08 06:20:00,542.0,3.1,20.2,0,91.8,226.3,26.5,27.09,8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 06:30:00,530.0,1.3,17.9,0,91.2,240.4,54.9,27.3,55.2,Normal,0,0,1,0,0,Normal operation
ISZ-001,2026-09-08 06:40:00,1207.0,51.7,76.1,37.0,84.6,295.7,77.2,26.58,108.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 06:50:00,1024.0,84.9,64.0,50.8,80.3,293.6,64.0,27.3,141.3,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 07:00:00,1608.0,90.0,50.9,24.9,93.8,270.1,62.3,27.48,121.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 07:10:00,2021.0,47.1,44.9,59.7,87.7,310.1,74.8,26.4,81.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 07:20:00,800,60.7,67.4,40.7,91.5,342.1,46.1,27.07,43.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 07:30:00,1406.0,69.0,61.0,41.9,83.2,340.5,82.1,26.99,96.2,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 07:40:00,1567.0,76.1,38.1,76.2,90.7,358.9,57.1,26.47,59.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 07:50:00,1863.0,43.5,65.3,47.9,87.2,319.3,66.6,26.95,138.1,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 08:00:00,1730.0,66.0,65.3,36.7,89.5,344.1,54.5,27.85,126.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 08:10:00,800,84.9,74.7,52.8,84.0,343.8,64.2,27.22,93.8,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 08:20:00,1620.0,85.4,61.0,24.3,89.1,297.7,77.6,27.24,73.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 08:30:00,1762.0,31.2,26.9,36.0,84.6,375.8,80.3,27.6,92.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 08:40:00,2130.0,33.7,84.9,61.5,80.9,311.7,64.8,25.86,103.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 08:50:00,1721.0,23.8,65.4,24.0,89.7,326.0,63.0,27.16,117.2,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 09:00:00,1263.0,31.6,49.1,68.4,86.4,288.3,74.0,26.87,53.7,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 09:10:00,2176.0,90.4,71.7,30.7,83.9,334.2,60.4,27.47,82.3,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 09:20:00,1655.0,89.8,43.2,53.4,88.7,290.6,51.7,28.04,79.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 09:30:00,1105.0,38.6,63.2,76.9,83.0,319.1,70.6,27.02,135.0,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 09:40:00,981.0,45.8,49.6,44.6,85.9,309.2,69.1,27.15,110.5,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 09:50:00,1304.0,57.0,58.2,54.0,91.2,362.5,57.0,27.42,82.4,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 10:00:00,544.0,0.7,8.5,7.4,83.6,277.2,28.3,27.27,26.1,Normal,0,0,0,0,0,Normal operation
ISZ-001,2026-09-08 10:10:00,558.0,0.9,24.2,0,91.2,245.9,28.9,26.91,40.0,Normal,0,0,1,0,0,Normal operation
ISZ-001,2026-09-08 10:20:00,555.0,0.7,24.3,1.7,89.6,272.5,41.3,26.58,27.8,Normal,0,0,1,0,0,Normal operation
