maintenance_id,vehicle_id,service_date,odometer_km,system,detected_issue,probable_cause,repair_action,component,manual_reference,maintenance_type,downtime_hours,status
MNT-0001,ISZ-001,2026-08-15,89343,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,3.5,Completed
MNT-0002,ISZ-001,2026-06-21,80391,Cooling,Cooling system inspection,Preventive cooling inspection,"Check coolant concentration, radiator, hoses and coolant level",Radiator / hoses / coolant,Engine Cooling 6B-4 to 6B-5,Preventive,1.1,Completed
MNT-0003,ISZ-002,2026-08-25,91039,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,2.1,Completed
MNT-0004,ISZ-002,2026-06-30,82159,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,2.0,Completed
MNT-0005,ISZ-002,2026-05-03,73761,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,1.8,Completed
MNT-0006,ISZ-003,2026-08-16,95599,Fuel,Fuel system inspection,Preventive fuel-system inspection,"Check fuel filter, air/water contamination, fuel lines and leaks",Fuel filter / common rail system,Engine Control System 6E,Preventive,2.4,Completed
MNT-0007,ISZ-003,2026-06-22,86677,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,1.1,Completed
MNT-0008,ISZ-003,2026-08-14,95264,Cooling,Engine running hot / cooling abnormality,Thermostat or coolant circulation problem suspected,"Inspect thermostat, radiator, hoses, coolant concentration and water circulation",Thermostat / radiator / hoses,Engine Cooling 6B; thermostat in Engine Mechanical 6A-80,Corrective,4.9,Completed
MNT-0009,ISZ-003,2026-07-08,89941,Cooling,Coolant loss noted,Possible hose or cooling-system leak,"Inspect hoses, radiator and cooling-system connections",Radiator hose / cooling connections,Engine Cooling 6B-10 onward,Corrective,3.2,Completed
MNT-0010,ISZ-004,2026-08-23,99657,General,Scheduled inspection,Routine preventive maintenance,"Check engine oil quantity, cooling water quantity, leaks and DTC indicator",General engine inspection,Engine Mechanical 6A-26,Preventive,3.8,Completed
MNT-0011,ISZ-004,2026-06-20,90541,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,3.9,Completed
MNT-0012,ISZ-004,2026-04-29,81666,Lubrication,Engine oil service,Scheduled oil maintenance,Check oil level and contamination; replace/service oil as required,Engine oil / oil filter,Engine Lubrication 6G-4,Preventive,3.1,Completed
MNT-0013,ISZ-005,2026-08-13,104217,Electrical,Charging system inspection,Preventive electrical inspection,"Inspect generator wiring, terminals and charging operation",Generator / battery circuit,Engine Electronic Components 6D-21 onward,Preventive,1.7,Completed
